danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.552,0.734,6,-3.843,1,0.05,0.247,0,0.358,0.829,161.965,191600,4,1
0.647,0.586,0,-6.883,1,0.0313,0.115,1.69e-06,0.121,0.165,87.994,228907,4,1
0.721,0.819,9,-5.715,1,0.0269,0.413,0,0.196,0.867,96.02,212320,4,1
0.61,0.876,0,-4.244,1,0.0394,0.0247,0,0.31,0.783,115.05,180347,4,1
0.615,0.889,4,-2.539,1,0.0371,0.00388,0,0.0947,0.659,131.96,280347,4,1
0.41,0.78,9,-5.391,1,0.0332,0.211,0,0.48,0.695,88.016,272347,4,1
0.761,0.886,5,-4.142,1,0.0571,0.154,0,0.119,0.683,106.041,183493,4,1
0.605,0.854,2,-5.313,1,0.0455,0.0404,0.0142,0.356,0.489,115.048,333453,4,1
0.72,0.849,6,-2.246,1,0.0316,0.0279,0.000169,0.0971,0.956,105.012,205720,4,1
0.541,0.895,2,-4.884,1,0.0367,0.0163,0,0.571,0.657,102.078,242027,4,1
0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,229880,4,1
0.629,0.808,9,-4.125,1,0.0269,0.00898,9.06e-06,0.0751,0.773,110.001,179293,4,1
0.537,0.693,9,-5.256,1,0.0847,0.0566,0,0.146,0.581,176.004,181210,4,1
0.663,0.53,1,-9.763,1,0.0301,0.0886,0,0.154,0.269,109.003,207347,4,1
0.495,0.708,6,-6.468,1,0.036,0.00816,0,0.198,0.576,87.972,223138,4,1
0.645,0.782,11,-4.366,1,0.0372,0.138,0,0.134,0.755,95.577,197547,4,1
0.756,0.796,1,-5.047,1,0.039,0.363,1.56e-06,0.0496,0.817,92.008,222533,4,1
0.557,0.909,11,-3.405,1,0.0423,0.00769,0,0.317,0.857,152.13,181400,4,1
0.689,0.673,10,-6.102,1,0.0321,0.00496,0,0.294,0.813,95.003,185443,4,1
0.283,0.649,2,-4.657,1,0.0323,0.0158,0,0.268,0.37,148.982,200627,3,1
0.555,0.931,8,-2.969,1,0.0367,0.016,0,0.405,0.723,132.085,220907,4,1
0.649,0.91,1,-5.185,1,0.0569,0.125,0,0.0467,0.88,87.983,205147,4,1
0.616,0.901,1,-3.605,1,0.0478,0.0899,0,0.382,0.604,95.485,214032,4,1
0.6,0.808,4,-4.679,1,0.0403,0.208,0,0.196,0.809,172.016,167427,4,1
0.509,0.957,9,-3.772,1,0.053,0.118,0,0.358,0.859,172.028,194667,4,1
0.458,0.903,7,-4.589,1,0.0493,0.136,8.06e-06,0.146,0.69,167.847,235387,4,1
0.669,0.857,0,-3.788,1,0.028,0.101,1.08e-05,0.13,0.795,102.51,212600,4,1
0.742,0.638,6,-4.332,1,0.0239,0.331,0.000221,0.0584,0.748,100.504,211893,4,1
0.557,0.737,3,-5.75,1,0.0476,0.0142,0,0.314,0.817,158.05,204187,4,1
0.53,0.802,4,-5.085,1,0.0401,0.201,0,0.151,0.845,132.992,234120,4,1
0.563,0.722,6,-5.252,1,0.0407,0.313,0,0.393,0.801,150.039,281453,4,1
0.531,0.831,11,-6.044,1,0.0537,0.0197,0.001,0.0993,0.558,175.961,209027,4,1
0.677,0.949,1,-3.47,1,0.0284,0.068,0,0.326,0.949,128.523,190125,4,1
0.554,0.702,9,-4.972,1,0.0284,0.152,0,0.138,0.467,163.003,212427,4,1
0.643,0.685,3,-6.696,1,0.0869,0.307,0,0.102,0.405,143.957,182133,4,1
0.688,0.947,6,-4.097,1,0.0544,0.221,0,0.284,0.878,136.031,176800,4,1
0.697,0.82,1,-5.108,1,0.0575,0.0888,0,0.143,0.655,104.022,180813,4,1
0.53,0.889,0,-5.561,1,0.0506,0.0389,0,0.0769,0.641,132.209,257240,4,1
0.562,0.744,7,-6.457,1,0.0365,0.0761,0,0.0867,0.738,161.995,252107,4,1
0.62,0.849,0,-6.836,1,0.0833,0.119,0,0.0606,0.965,185.939,190147,4,1
0.632,0.83,0,-4.665,1,0.0463,0.0807,7.47e-06,0.123,0.69,109.387,205920,4,1
0.378,0.903,7,-4.538,1,0.0533,0.103,0.000285,0.134,0.457,115.616,301800,4,1
0.579,0.859,3,-3.933,1,0.0605,0.169,0,0.0917,0.915,169.942,209427,4,1
0.558,0.872,9,-4.401,1,0.0449,0.178,0,0.173,0.472,143.971,213547,4,1
0.666,0.786,10,-8.573,1,0.0896,0.225,0.000218,0.0988,0.459,178.038,200902,4,1
0.646,0.695,2,-6.34,1,0.0547,0.517,0.00687,0.154,0.513,105.986,246815,4,1
0.856,0.462,10,-7.478,1,0.059,0.273,0,0.11,0.714,108.012,223933,4,1
0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,187027,4,1
0.65,0.527,5,-7.465,0,0.532,0.132,0,0.0902,0.705,120.094,181975,5,1
0.463,0.415,7,-12.722,1,0.0302,0.00562,1.79e-05,0.755,0.609,138.793,154091,4,1
0.594,0.722,4,-5.751,0,0.0398,0.0156,0,0.0667,0.407,127.877,200322,4,1
0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309,4,1
0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947,4,1
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,1
0.719,0.703,5,-4.93,0,0.0392,0.032,1.14e-05,0.0656,0.72,101.984,223000,4,1
0.572,0.691,8,-4.783,0,0.123,0.0788,0.000132,0.0619,0.318,92.082,211818,4,1
0.601,0.775,0,-4.612,1,0.0473,0.269,0,0.0883,0.483,119.964,190295,4,1
0.449,0.597,9,-4.401,0,0.14,0.347,1.03e-05,0.197,0.505,134.598,194777,5,1
0.666,0.435,6,-8.089,0,0.0391,0.369,0,0.106,0.6,114.963,153931,4,1
0.659,0.617,11,-5.862,0,0.0649,0.27,0,0.187,0.187,119.858,164010,4,1
0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,230762,4,1
0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4,1
0.599,0.518,8,-7.902,1,0.0333,0.479,0.00435,0.136,0.455,95.031,215773,4,1
0.83,0.497,1,-6.94,1,0.052,0.0983,0,0.0906,0.634,127.965,185282,4,1
0.525,0.62,11,-7.66,1,0.0404,0.615,2.11e-05,0.175,0.114,123.717,203312,4,1
0.612,0.54,8,-5.886,1,0.0338,0.361,5.82e-06,0.102,0.197,121.952,273667,4,1
0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,1
0.673,0.71,8,-6.744,1,0.0324,0.00277,0,0.55,0.54,110.017,173613,4,1
0.597,0.751,6,-4.982,0,0.193,0.0104,0,0.0912,0.568,103.956,201680,4,1
0.764,0.692,6,-7.769,0,0.0828,0.148,4.12e-05,0.129,0.433,119.918,232223,4,1
0.448,0.612,2,-6.106,1,0.0708,0.216,0,0.08,0.213,97.773,189467,4,1
0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,1
0.569,0.476,7,-6.778,1,0.0317,0.243,4.26e-06,0.0975,0.331,80.978,219001,4,1
0.42,0.658,6,-6.72,1,0.094,0.597,0,0.103,0.196,94.93,207158,4,1
0.709,0.759,5,-3.811,0,0.0454,0.114,0.000129,0.347,0.586,148.011,192588,4,1
0.695,0.639,7,-6.897,0,0.153,0.107,0.000657,0.118,0.344,90.027,189493,4,1
0.682,0.607,9,-7.596,0,0.0331,0.0625,0.000472,0.123,0.475,118.048,225210,4,1
0.661,0.575,5,-8.592,0,0.0693,0.0917,0.000573,0.127,0.447,123.993,267657,4,1
0.576,0.719,11,-5.163,1,0.0397,0.156,0,0.305,0.545,94.921,205409,4,1
0.667,0.478,2,-5.345,1,0.0316,0.2,0,0.0927,0.337,113.502,233029,4,1
0.89,0.624,1,-3.966,1,0.103,0.0944,5.16e-06,0.0903,0.762,116.046,169814,4,1
0.504,0.821,8,-3.356,1,0.0598,0.275,0,0.0418,0.458,155.131,201799,4,1
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368,4,1
0.661,0.684,6,-6.611,1,0.0512,0.121,0.00503,0.157,0.371,125.06,199635,4,1
0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,212500,4,1
0.563,0.934,7,-2.78,1,0.0589,0.00883,2.01e-06,0.0765,0.419,109.046,224083,4,1
0.742,0.722,4,-3.443,0,0.0405,0.173,0,0.4,0.581,103.472,181125,4,1
0.392,0.423,7,-7.813,1,0.0348,0.27,0,0.117,0.288,113.537,245187,4,1
0.496,0.793,5,-6.122,1,0.297,0.00954,0,0.325,0.62,191.928,197113,4,1
0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,4,1
0.654,0.58,8,-3.846,1,0.0562,0.0696,0,0.27,0.372,155.973,176043,4,1
0.423,0.857,10,-3.441,0,0.275,0.0316,0,0.0555,0.655,180.01,207430,4,1
0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177667,4,1
0.537,0.837,0,-4.477,1,0.039,0.19,0,0.348,0.533,90.083,206120,4,1
0.708,0.666,11,-6.438,1,0.0956,0.0468,0,0.118,0.326,144.004,188497,4,1
0.667,0.871,0,-4.905,0,0.0343,0.00569,0.00655,0.165,0.187,128.042,201560,4,1
0.743,0.494,5,-9.303,1,0.129,0.252,0.00245,0.456,0.412,92.944,146972,4,1
0.399,0.646,3,-6.991,0,0.0369,0.37,0.000114,0.232,0.243,173.459,231333,4,1
0.585,0.82,2,-3.212,1,0.0734,0.154,6.65e-06,0.0868,0.621,174.041,190390,4,1
0.674,0.812,0,-4.696,1,0.0634,0.191,0,0.208,0.417,105.024,216000,4,1
0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4,1
0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,210773,4,1
0.732,0.922,6,-1.829,0,0.0975,0.0348,0,0.146,0.589,120.033,218250,4,1
0.65,0.718,1,-4.365,0,0.0384,0.135,9.53e-05,0.106,0.686,114.034,219640,4,1
0.812,0.498,5,-5.951,0,0.216,0.664,6.46e-05,0.156,0.723,119.936,193507,4,1
0.586,0.567,11,-8.832,1,0.0522,0.297,0,0.101,0.383,132.027,174789,4,1
0.74,0.669,0,-5.199,1,0.0373,0.0445,0,0.184,0.536,122.007,218868,4,1
0.615,0.698,6,-3.212,1,0.0485,0.0812,1.17e-06,0.18,0.437,80.024,180853,4,1
0.318,0.647,0,-7.132,1,0.0476,0.454,0,0.179,0.528,86.964,189943,4,1
0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,4,1
0.643,0.904,0,-3.694,1,0.0739,0.0776,0,0.189,0.481,103.028,195419,4,1
0.612,0.742,5,-4.198,0,0.0519,0.0176,0.000102,0.101,0.431,122.052,193399,4,1
0.62,0.906,11,-3.638,0,0.0627,0.102,0.0206,0.183,0.398,123.047,221773,4,1
0.745,0.719,11,-4.291,1,0.19,0.0352,0,0.0639,0.611,99.962,191255,4,1
0.716,0.745,3,-6.183,1,0.112,0.0542,0,0.289,0.598,104.04,210777,4,1
0.838,0.724,0,-3.025,1,0.0754,0.0934,1.73e-06,0.0522,0.385,112.992,175333,4,1
