danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
0.538462,0.620445,1,0.815767,1,0.043116,0.617468,0.000021,0.165715,0.116923,0.578549,0.145779,0.8,1
0.627692,0.540328,0.727273,0.858146,1,0.036073,0.362447,0.000006,0.089966,0.202051,0.570296,0.208992,0.8,1
0.811282,0.8628,0.818182,0.921357,0,0.117396,0.037144,0.000022,0.06859,0.607179,0.579845,0.156143,0.8,1
0.690256,0.710577,0.727273,0.837649,1,0.034578,0.002776,0,0.554841,0.553846,0.514483,0.119094,0.8,1
0.612308,0.751637,0.545455,0.879742,0,0.205977,0.010437,0,0.078759,0.582564,0.486139,0.144312,0.8,1
0.78359,0.692551,0.545455,0.813163,0,0.088367,0.14859,0.000041,0.117983,0.444103,0.560784,0.171755,0.8,1
0.459487,0.612434,0.181818,0.852891,1,0.07556,0.216864,0,0.067137,0.218462,0.457225,0.133339,0.8,1
0.603077,0.670519,0,0.844935,1,0.05048,0.010437,0.000003,0.334855,0.517949,0.552558,0.177101,0.8,1
0.58359,0.476235,0.636364,0.836837,1,0.033831,0.243972,0.000004,0.085296,0.339487,0.378685,0.159875,0.8,1
0.430769,0.658501,0.545455,0.838223,1,0.10032,0.599396,0,0.091003,0.201026,0.44393,0.149234,0.8,1
0.727179,0.759649,0.454545,0.907716,0,0.048453,0.114454,0.000129,0.344194,0.601026,0.692158,0.136143,0.8,1
0.712821,0.639473,0.636364,0.833994,0,0.163287,0.107425,0.000659,0.106568,0.352821,0.421002,0.133362,0.8,1
0.699487,0.607426,0.818182,0.817296,0,0.035326,0.062746,0.000473,0.111757,0.487179,0.552039,0.165454,0.8,1
0.677949,0.57538,0.454545,0.793502,0,0.073959,0.092064,0.000575,0.115907,0.458462,0.57984,0.203592,0.8,1
0.590769,0.71959,1,0.875418,1,0.042369,0.156622,0,0.300612,0.558974,0.443888,0.147663,0.8,1
0.684103,0.478238,0.181818,0.87107,1,0.033725,0.200799,0,0.080315,0.345641,0.53078,0.172479,0.8,1
0.912821,0.624451,0.090909,0.904013,1,0.109925,0.094775,0.000005,0.077825,0.781538,0.542677,0.115681,0.8,1
0.516923,0.82174,0.727273,0.918586,1,0.063821,0.276101,0,0.027498,0.469744,0.725454,0.144419,0.8,1
0.837949,0.539327,0.545455,0.847086,0,0.066275,0.014152,0.000497,0.086853,0.162051,0.4539,0.152118,0.8,1
0.677949,0.684539,0.545455,0.840827,1,0.054642,0.121482,0.005045,0.147037,0.380513,0.58483,0.142475,0.8,1
0.862564,0.798706,0.090909,0.89828,0,0.244397,0.15361,0.000003,0.048252,0.606154,0.448691,0.154034,0.8,1
0.577436,0.934905,0.636364,0.932346,1,0.06286,0.008861,0.000002,0.063505,0.429744,0.509942,0.164441,0.8,1
0.761026,0.722595,0.363636,0.916507,0,0.043223,0.173691,0,0.399191,0.595897,0.483876,0.125844,0.8,1
0.402051,0.423157,0.636364,0.812112,1,0.03714,0.271081,0,0.105531,0.295385,0.530944,0.183403,0.8,1
0.508718,0.793699,0.454545,0.852508,1,0.316969,0.009573,0,0.321366,0.635897,0.897531,0.140209,0.8,1
0.721026,0.723596,0.818182,0.868562,0,0.04397,0.030317,0.000002,0.11487,0.295385,0.490876,0.141817,0.8,1
0.670769,0.580387,0.727273,0.90688,1,0.059979,0.069875,0,0.264294,0.381538,0.729391,0.121278,0.8,1
0.433846,0.857792,0.909091,0.916555,0,0.29349,0.031722,0,0.041714,0.671795,0.841798,0.149479,0.8,1
0.835897,0.518296,0.636364,0.841233,0,0.095731,0.223892,0,0.092041,0.899487,0.710302,0.122737,0.8,1
0.550769,0.837763,0,0.891806,1,0.041622,0.190759,0,0.345232,0.546667,0.421264,0.148301,0.8,1
0.726154,0.666513,1,0.844959,1,0.102028,0.046983,0,0.106568,0.334359,0.673419,0.132467,0.8,1
0.684103,0.871813,0,0.881581,0,0.036606,0.005708,0.00657,0.155339,0.191795,0.598775,0.144204,0.8,1
0.762051,0.494261,0.454545,0.776517,1,0.137673,0.253008,0.002457,0.4573,0.422564,0.434643,0.095157,0.8,1
0.409231,0.646484,0.272727,0.831749,0,0.039381,0.371483,0.000114,0.224863,0.249231,0.811163,0.170955,0.8,1
0.6,0.820738,0.181818,0.922026,1,0.078335,0.154614,0.000007,0.074193,0.636923,0.813884,0.134168,0.8,1
0.691282,0.812726,0,0.886574,1,0.067663,0.191763,0,0.199958,0.427692,0.491134,0.157179,0.8,1
0.689231,0.735614,0.454545,0.88569,1,0.048773,0.287145,0,0.235239,0.773333,0.54125,0.143959,0.8,1
0.669744,0.809722,0,0.901839,1,0.050587,0.194775,0,0.155339,0.564103,0.431224,0.152482,0.8,1
0.750769,0.922887,0.545455,0.955065,0,0.104055,0.034935,0,0.135623,0.604103,0.561322,0.1592,0.8,1
0.666667,0.718589,0.090909,0.894482,0,0.040982,0.135538,0.000096,0.094116,0.70359,0.533268,0.160449,0.8,1
0.832821,0.498267,0.454545,0.856593,0,0.230523,0.666665,0.000065,0.146,0.741538,0.560868,0.136969,0.8,1
0.601026,0.567368,1,0.787769,1,0.05571,0.298189,0,0.088928,0.392821,0.61741,0.120151,0.8,1
0.758974,0.669517,0,0.874558,1,0.039808,0.044674,0,0.175054,0.549744,0.570553,0.159755,0.8,1
0.630769,0.69856,0.545455,0.922026,1,0.051761,0.081522,0.000001,0.170904,0.448205,0.374224,0.125599,0.8,1
0.326154,0.647485,0,0.82838,1,0.0508,0.455821,0,0.169866,0.541538,0.406678,0.133767,0.8,1
0.857436,0.544334,0.636364,0.85602,1,0.10064,0.040457,0,0.069627,0.523077,0.453741,0.158928,0.8,1
0.659487,0.904861,0,0.910511,1,0.078869,0.077907,0,0.180243,0.493333,0.481799,0.138687,0.8,1
0.627692,0.742624,0.454545,0.898471,0,0.05539,0.017666,0.000102,0.088928,0.442051,0.570763,0.136872,0.8,1
0.635897,0.906864,1,0.911849,0,0.066916,0.102405,0.020662,0.174017,0.408205,0.575416,0.162366,0.8,1
0.764103,0.71959,1,0.896249,1,0.202775,0.035337,0,0.050431,0.626667,0.467462,0.134945,0.8,1
0.734359,0.745628,0.272727,0.851051,1,0.11953,0.054413,0,0.28401,0.613333,0.486532,0.152486,0.8,1
0.859487,0.724598,0,0.926493,1,0.08047,0.093771,0.000002,0.03829,0.394872,0.528395,0.12064,0.8,1
0.74359,0.770665,0.090909,0.849689,1,0.057524,0.149594,0.000022,0.050638,0.66359,0.434947,0.199779,0.8,1
0.846154,0.317002,0.909091,0.702771,1,0.06222,0.498994,0.012839,0.098267,0.139487,0.481673,0.183942,0.8,1
0.891282,0.703567,0.727273,0.882609,0,0.039594,0.236944,0.000001,0.15015,0.647179,0.453587,0.155501,0.8,1
0.707692,0.761652,0.545455,0.850215,1,0.122732,0.524094,0.001083,0.144962,0.597949,0.495557,0.149204,0.8,1
