@relation data

@attribute danceability numeric
@attribute energy numeric
@attribute key numeric
@attribute loudness numeric
@attribute mode numeric
@attribute speechiness numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute valence numeric
@attribute tempo numeric
@attribute duration_ms numeric
@attribute time_signature numeric
@attribute featured numeric

@data
0.703,0.748,1,-6.047,1,0.0435,0.123,0,0.0642,0.625,111.943,184080,4,1
0.664,0.819,7,-6.967,0,0.0485,0.199,0.00158,0.358,0.674,141.999,185810,4,1
0.746,0.703,4,-4.179,0,0.107,0.352,0,0.331,0.667,166.043,179693,4,1
0.562,0.199,5,-13.346,1,0.0343,0.955,0.000037,0.236,0.569,85.51,231600,4,1
0.633,0.684,10,-6.052,1,0.323,0.0256,0.000008,0.0396,0.528,95.428,212122,4,1
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,1
0.732,0.919,7,-5.297,1,0.0923,0.347,0.00709,0.0978,0.177,95.018,203833,4,1
0.662,0.827,8,-5.891,1,0.0624,0.166,0.0165,0.086,0.477,115.014,208742,4,1
0.764,0.647,8,-5.026,1,0.0368,0.134,0,0.34,0.325,119.031,232941,4,1
0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4,1
0.73,0.554,0,-8.006,1,0.057,0.00409,0.000149,0.149,0.555,99.011,198433,4,1
0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4,1
0.78,0.447,7,-7.125,1,0.0584,0.691,0,0.105,0.193,130.064,230583,4,1
0.925,0.591,1,-5.663,1,0.157,0.0193,0,0.108,0.158,142.047,155493,4,1
0.567,0.812,7,-6.928,0,0.032,0.0161,0,0.102,0.282,107.047,187173,4,1
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,194732,4,1
0.541,0.662,6,-5.161,1,0.036,0.0581,0,0.171,0.117,126.028,225104,4,1
0.186,0.3,9,-12.141,0,0.0368,0.974,0.924,0.0672,0.0877,96.563,267455,3,1
0.671,0.565,11,-7.401,0,0.16,0.274,0.000065,0.37,0.561,150.014,210197,4,1
0.745,0.651,9,-5.192,1,0.308,0.0385,0,0.0508,0.528,174.018,192105,4,1
0.547,0.725,4,-4.406,0,0.224,0.259,0,0.0982,0.288,70.201,181741,4,1
